Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean,Fwd Packets/s,Bwd Packets/s,SYN Flag Count,ACK Flag Count,PSH Flag Count,FIN Flag Count,Packet Length Mean,Min Packet Length,Max Packet Length,Flow Bytes/s,Flow Packets/s,Down/Up Ratio,anomaly,anomaly_score
0.0,-0.942416640284816,-1.2283845372799884,-0.8646552081126646,-0.8266121868040985,-0.8482797617247858,0.0,0.0,0.0,-0.4173035980128851,-1.0237079543118237,1.881278459429108,-1.0708539498464642,-1.2700147376003803,-0.9169012840005024,-0.8719092096988579,0.0,0.0,0.1725324020798115,-0.7966487653249735,0.8959018896182175,1.8820354513672164,-1.0695170718607276,0,0.1033188152391305
0.0,-0.921580719499831,-0.8504200642707612,-0.8646552081126646,-0.785336632509637,-0.8482797617247858,0.0,0.0,0.0,-0.3452880103605343,-1.0237079543118237,-0.2168802773931707,-1.0708539498464642,-1.2700147376003803,-0.9169012840005024,-0.8719092096988579,0.0,0.0,0.1725324020798115,-0.7966487653249735,-0.3375564111560344,-0.2304191370832986,-1.0695170718607276,0,0.08691943046825568
0.0,-0.942416640284816,-1.2283845372799884,-0.8646552081126646,-0.8240953847129728,-0.8482797617247858,0.0,0.0,0.0,-0.4173035980128851,-1.0237079543118237,1.881278459429108,-1.0708539498464642,-1.2700147376003803,-0.9169012840005024,-0.8719092096988579,0.0,0.0,0.3015285905506987,-0.7932330619605017,0.9846950138456658,1.8820354513672164,-1.0695170718607276,0,0.08256300227828517
0.0,-0.942416640284816,-1.2283845372799884,-0.8646552081126646,-0.7777862262362599,-0.8482797617247858,0.0,0.0,0.0,-0.4173035980128851,-1.0237079543118237,1.881278459429108,-1.0708539498464642,-1.2700147376003803,-0.9169012840005024,-0.8719092096988579,0.0,0.0,2.6750584584150223,-0.7303841200542198,2.618488499630716,1.8820354513672164,-1.0695170718607276,0,0.03365759242338484
0.0,-0.942416640284816,-1.2283845372799884,-0.8646552081126646,-0.8266121868040985,-0.8482797617247858,0.0,0.0,0.0,-0.4173035980128851,-1.0237079543118237,1.881278459429108,-1.0708539498464642,-1.2700147376003803,-0.9169012840005024,-0.8719092096988579,0.0,0.0,0.1725324020798115,-0.7966487653249735,0.8959018896182175,1.8820354513672164,-1.0695170718607276,0,0.1033188152391305
0.0,-0.919280962434826,-0.8504200642707612,-0.8646552081126646,-0.785336632509637,-0.8482797617247858,0.0,0.0,0.0,-0.3379472529758374,-1.0237079543118237,-0.2519303339227175,-1.0708539498464642,-1.2700147376003803,-0.9169012840005024,-0.8719092096988579,0.0,0.0,0.1725324020798115,-0.7966487653249735,-0.3581615171521868,-0.2657080079594027,-1.0695170718607276,0,0.09741668178541413
0.0,-0.8969375266208011,-0.472455591261534,-0.8646552081126646,-0.7440610782151755,-0.8482797617247858,0.0,0.0,0.0,-0.3168529716181475,-1.0237079543118237,-0.3241385217840749,-1.0708539498464642,-1.2700147376003803,-0.9169012840005024,-0.8719092096988579,0.0,0.0,0.1725324020798115,-0.7966487653249735,-0.4006110168675185,-0.3384081879288372,-1.0695170718607276,0,0.09432567446095247
0.0,-0.872343702408642,-0.0944911182523068,-0.8646552081126646,-0.7027855239207139,-0.8482797617247858,0.0,0.0,0.0,-0.3027142439183402,-1.0237079543118237,-0.35765585273938,-1.0708539498464642,-1.2700147376003803,-0.9169012840005024,-0.8719092096988579,0.0,0.0,0.1725324020798115,-0.7966487653249735,-0.4203150694547087,-0.3721538899706109,-1.0695170718607276,0,0.07969112430278497
0.0,-0.942416640284816,-1.2283845372799884,-0.8646552081126646,-0.7838265512549616,-0.8482797617247858,0.0,0.0,0.0,-0.4173035980128851,-1.0237079543118237,1.881278459429108,-1.0708539498464642,-1.2700147376003803,-0.9169012840005024,-0.8719092096988579,0.0,0.0,2.365467606084893,-0.7385818081289522,2.40538500148484,1.8820354513672164,-1.0695170718607276,0,0.04413837032916501
0.0,-0.942416640284816,-1.2283845372799884,-0.8646552081126646,-0.8346659534957008,-0.8482797617247858,0.0,0.0,0.0,-0.4173035980128851,-1.0237079543118237,1.881278459429108,-1.0708539498464642,-0.2279513631590426,-0.9169012840005024,-0.8719092096988579,0.0,0.0,-0.2402554010270273,-0.8075790160912835,0.6117638920903827,1.8820354513672164,-1.0695170718607276,0,0.021638299565701513
